3_1	 1-t+t^2
10_21	 2-7*t+9*t^2-9*t^3+9*t^4-7*t^5+2*t^6
10_22	 2-6*t+10*t^2-13*t^3+10*t^4-6*t^5+2*t^6
10_23	 2-7*t+13*t^2-15*t^3+13*t^4-7*t^5+2*t^6
10_24	 4-14*t+19*t^2-14*t^3+4*t^4
10_25	 2-8*t+14*t^2-17*t^3+14*t^4-8*t^5+2*t^6
10_26	 2-7*t+13*t^2-17*t^3+13*t^4-7*t^5+2*t^6
10_27	 2-8*t+16*t^2-19*t^3+16*t^4-8*t^5+2*t^6
10_28	 4-13*t+19*t^2-13*t^3+4*t^4
10_29	 1-7*t+15*t^2-17*t^3+15*t^4-7*t^5+t^6
10_30	 4-17*t+25*t^2-17*t^3+4*t^4
10_31	 4-14*t+21*t^2-14*t^3+4*t^4
10_32	 2-8*t+15*t^2-19*t^3+15*t^4-8*t^5+2*t^6
10_33	 4-16*t+25*t^2-16*t^3+4*t^4
10_34	 3-9*t+13*t^2-9*t^3+3*t^4
10_35	 2-12*t+21*t^2-12*t^3+2*t^4
10_36	 3-13*t+19*t^2-13*t^3+3*t^4
10_37	 4-13*t+19*t^2-13*t^3+4*t^4
10_38	 4-15*t+21*t^2-15*t^3+4*t^4
10_39	 2-8*t+13*t^2-15*t^3+13*t^4-8*t^5+2*t^6
10_40	 2-8*t+17*t^2-21*t^3+17*t^4-8*t^5+2*t^6
10_41	 1-7*t+17*t^2-21*t^3+17*t^4-7*t^5+t^6
10_42	 1-7*t+19*t^2-27*t^3+19*t^4-7*t^5+t^6
10_43	 1-7*t+17*t^2-23*t^3+17*t^4-7*t^5+t^6
10_44	 1-7*t+19*t^2-25*t^3+19*t^4-7*t^5+t^6
10_45	 1-7*t+21*t^2-31*t^3+21*t^4-7*t^5+t^6
10_46	 1-3*t+4*t^2-5*t^3+5*t^4-5*t^5+4*t^6-3*t^7+t^8
10_47	 1-3*t+6*t^2-7*t^3+7*t^4-7*t^5+6*t^6-3*t^7+t^8
10_48	 1-3*t+6*t^2-9*t^3+11*t^4-9*t^5+6*t^6-3*t^7+t^8
10_49	 3-8*t+12*t^2-13*t^3+12*t^4-8*t^5+3*t^6
10_50	 2-7*t+11*t^2-13*t^3+11*t^4-7*t^5+2*t^6
10_51	 2-7*t+15*t^2-19*t^3+15*t^4-7*t^5+2*t^6
10_52	 2-7*t+13*t^2-15*t^3+13*t^4-7*t^5+2*t^6
10_53	 6-18*t+25*t^2-18*t^3+6*t^4
10_54	 2-6*t+10*t^2-11*t^3+10*t^4-6*t^5+2*t^6
10_55	 5-15*t+21*t^2-15*t^3+5*t^4
10_56	 2-8*t+14*t^2-17*t^3+14*t^4-8*t^5+2*t^6
10_57	 2-8*t+18*t^2-23*t^3+18*t^4-8*t^5+2*t^6
10_58	 3-16*t+27*t^2-16*t^3+3*t^4
10_59	 1-7*t+18*t^2-23*t^3+18*t^4-7*t^5+t^6
10_60	 1-7*t+20*t^2-29*t^3+20*t^4-7*t^5+t^6
10_61	 2-5*t+6*t^2-7*t^3+6*t^4-5*t^5+2*t^6
10_62	 1-3*t+6*t^2-8*t^3+9*t^4-8*t^5+6*t^6-3*t^7+t^8
10_63	 5-14*t+19*t^2-14*t^3+5*t^4
10_64	 1-3*t+6*t^2-10*t^3+11*t^4-10*t^5+6*t^6-3*t^7+t^8
10_65	 2-7*t+14*t^2-17*t^3+14*t^4-7*t^5+2*t^6
10_66	 3-9*t+16*t^2-19*t^3+16*t^4-9*t^5+3*t^6
10_67	 4-16*t+23*t^2-16*t^3+4*t^4
10_68	 4-14*t+21*t^2-14*t^3+4*t^4
10_69	 1-7*t+21*t^2-29*t^3+21*t^4-7*t^5+t^6
10_70	 1-7*t+16*t^2-19*t^3+16*t^4-7*t^5+t^6
10_71	 1-7*t+18*t^2-25*t^3+18*t^4-7*t^5+t^6
10_72	 2-9*t+16*t^2-19*t^3+16*t^4-9*t^5+2*t^6
10_73	 1-7*t+20*t^2-27*t^3+20*t^4-7*t^5+t^6
10_74	 4-16*t+23*t^2-16*t^3+4*t^4
10_75	 1-7*t+19*t^2-27*t^3+19*t^4-7*t^5+t^6
10_76	 2-7*t+12*t^2-15*t^3+12*t^4-7*t^5+2*t^6
10_77	 2-7*t+14*t^2-17*t^3+14*t^4-7*t^5+2*t^6
10_78	 1-7*t+16*t^2-21*t^3+16*t^4-7*t^5+t^6
10_79	 1-3*t+7*t^2-12*t^3+15*t^4-12*t^5+7*t^6-3*t^7+t^8
10_80	 3-9*t+15*t^2-17*t^3+15*t^4-9*t^5+3*t^6
10_81	 1-8*t+20*t^2-27*t^3+20*t^4-8*t^5+t^6
10_82	 1-4*t+8*t^2-12*t^3+13*t^4-12*t^5+8*t^6-4*t^7+t^8
10_83	 2-9*t+19*t^2-23*t^3+19*t^4-9*t^5+2*t^6
10_84	 2-9*t+20*t^2-25*t^3+20*t^4-9*t^5+2*t^6
10_85	 1-4*t+8*t^2-10*t^3+11*t^4-10*t^5+8*t^6-4*t^7+t^8
10_86	 2-9*t+19*t^2-25*t^3+19*t^4-9*t^5+2*t^6
10_87	 2-9*t+18*t^2-23*t^3+18*t^4-9*t^5+2*t^6
10_88	 1-8*t+24*t^2-35*t^3+24*t^4-8*t^5+t^6
10_89	 1-8*t+24*t^2-33*t^3+24*t^4-8*t^5+t^6
10_90	 2-8*t+17*t^2-23*t^3+17*t^4-8*t^5+2*t^6
10_91	 1-4*t+9*t^2-14*t^3+17*t^4-14*t^5+9*t^6-4*t^7+t^8
10_92	 2-10*t+20*t^2-25*t^3+20*t^4-10*t^5+2*t^6
10_93	 2-8*t+15*t^2-17*t^3+15*t^4-8*t^5+2*t^6
10_94	 1-4*t+9*t^2-14*t^3+15*t^4-14*t^5+9*t^6-4*t^7+t^8
10_95	 2-9*t+21*t^2-27*t^3+21*t^4-9*t^5+2*t^6
10_96	 1-7*t+22*t^2-33*t^3+22*t^4-7*t^5+t^6
10_97	 5-22*t+33*t^2-22*t^3+5*t^4
10_98	 2-9*t+18*t^2-23*t^3+18*t^4-9*t^5+2*t^6
10_99	 1-4*t+10*t^2-16*t^3+19*t^4-16*t^5+10*t^6-4*t^7+t^8
10_100	 1-4*t+9*t^2-12*t^3+13*t^4-12*t^5+9*t^6-4*t^7+t^8
10_101	 7-21*t+29*t^2-21*t^3+7*t^4
10_102	 2-8*t+16*t^2-21*t^3+16*t^4-8*t^5+2*t^6
10_103	 2-8*t+17*t^2-21*t^3+17*t^4-8*t^5+2*t^6
10_104	 1-4*t+9*t^2-15*t^3+19*t^4-15*t^5+9*t^6-4*t^7+t^8
10_105	 1-8*t+22*t^2-29*t^3+22*t^4-8*t^5+t^6
10_106	 1-4*t+9*t^2-15*t^3+17*t^4-15*t^5+9*t^6-4*t^7+t^8
10_107	 1-8*t+22*t^2-31*t^3+22*t^4-8*t^5+t^6
10_108	 2-8*t+14*t^2-15*t^3+14*t^4-8*t^5+2*t^6
10_109	 1-4*t+10*t^2-17*t^3+21*t^4-17*t^5+10*t^6-4*t^7+t^8
10_110	 1-8*t+20*t^2-25*t^3+20*t^4-8*t^5+t^6
10_111	 2-9*t+17*t^2-21*t^3+17*t^4-9*t^5+2*t^6
10_112	 1-5*t+11*t^2-17*t^3+19*t^4-17*t^5+11*t^6-5*t^7+t^8
10_113	 2-11*t+26*t^2-33*t^3+26*t^4-11*t^5+2*t^6
10_114	 2-10*t+21*t^2-27*t^3+21*t^4-10*t^5+2*t^6
10_115	 1-9*t+26*t^2-37*t^3+26*t^4-9*t^5+t^6
10_116	 1-5*t+12*t^2-19*t^3+21*t^4-19*t^5+12*t^6-5*t^7+t^8
10_117	 2-10*t+24*t^2-31*t^3+24*t^4-10*t^5+2*t^6
10_118	 1-5*t+12*t^2-19*t^3+23*t^4-19*t^5+12*t^6-5*t^7+t^8
10_119	 2-10*t+23*t^2-31*t^3+23*t^4-10*t^5+2*t^6
10_120	 8-26*t+37*t^2-26*t^3+8*t^4
10_121	 2-11*t+27*t^2-35*t^3+27*t^4-11*t^5+2*t^6
10_122	 2-11*t+24*t^2-31*t^3+24*t^4-11*t^5+2*t^6
10_123	 1-6*t+15*t^2-24*t^3+29*t^4-24*t^5+15*t^6-6*t^7+t^8
10_124	 1-t+t^3-t^4+t^5-t^7+t^8
10_125	 1-2*t+2*t^2-t^3+2*t^4-2*t^5+t^6
10_126	 1-2*t+4*t^2-5*t^3+4*t^4-2*t^5+t^6
10_127	 1-4*t+6*t^2-7*t^3+6*t^4-4*t^5+t^6
10_128	 2-3*t+t^2+t^3+t^4-3*t^5+2*t^6
10_129	 2-6*t+9*t^2-6*t^3+2*t^4
10_130	 2-4*t+5*t^2-4*t^3+2*t^4
10_131	 2-8*t+11*t^2-8*t^3+2*t^4
10_132	 1-t+t^2-t^3+t^4
10_133	 1-5*t+7*t^2-5*t^3+t^4
10_134	 2-4*t+4*t^2-3*t^3+4*t^4-4*t^5+2*t^6
10_135	 3-9*t+13*t^2-9*t^3+3*t^4
10_136	 1-4*t+5*t^2-4*t^3+t^4
10_137	 1-6*t+11*t^2-6*t^3+t^4
10_138	 1-5*t+8*t^2-7*t^3+8*t^4-5*t^5+t^6
10_139	 1-t+2*t^3-3*t^4+2*t^5-t^7+t^8
10_140	 1-2*t+3*t^2-2*t^3+t^4
10_141	 1-3*t+4*t^2-5*t^3+4*t^4-3*t^5+t^6
10_142	 2-3*t+2*t^2-t^3+2*t^4-3*t^5+2*t^6
10_143	 1-3*t+6*t^2-7*t^3+6*t^4-3*t^5+t^6
10_144	 3-10*t+13*t^2-10*t^3+3*t^4
10_145	 1+t-3*t^2+t^3+t^4
10_146	 2-8*t+13*t^2-8*t^3+2*t^4
10_147	 2-7*t+9*t^2-7*t^3+2*t^4
10_148	 1-3*t+7*t^2-9*t^3+7*t^4-3*t^5+t^6
10_149	 1-5*t+9*t^2-11*t^3+9*t^4-5*t^5+t^6
10_150	 1-4*t+6*t^2-7*t^3+6*t^4-4*t^5+t^6
10_151	 1-4*t+10*t^2-13*t^3+10*t^4-4*t^5+t^6
10_152	 1-t-t^2+4*t^3-5*t^4+4*t^5-t^6-t^7+t^8
10_153	 1-t-t^2+3*t^3-t^4-t^5+t^6
10_154	 1-4*t^2+7*t^3-4*t^4+t^6
10_155	 1-3*t+5*t^2-7*t^3+5*t^4-3*t^5+t^6
10_156	 1-4*t+8*t^2-9*t^3+8*t^4-4*t^5+t^6
10_157	 1-6*t+11*t^2-13*t^3+11*t^4-6*t^5+t^6
10_158	 1-4*t+10*t^2-15*t^3+10*t^4-4*t^5+t^6
10_159	 1-4*t+9*t^2-11*t^3+9*t^4-4*t^5+t^6
10_160	 1-4*t+4*t^2-3*t^3+4*t^4-4*t^5+t^6
10_161	 1-2*t^2+3*t^3-2*t^4+t^6
10_162	 3-9*t+11*t^2-9*t^3+3*t^4
10_163	 1-5*t+12*t^2-15*t^3+12*t^4-5*t^5+t^6
10_164	 3-11*t+17*t^2-11*t^3+3*t^4
10_165	 2-10*t+15*t^2-10*t^3+2*t^4
11a_1	 2-12*t+30*t^2-39*t^3+30*t^4-12*t^5+2*t^6
11a_2	 3-15*t+31*t^2-39*t^3+31*t^4-15*t^5+3*t^6
11a_3	 1-5*t+13*t^2-24*t^3+29*t^4-24*t^5+13*t^6-5*t^7+t^8
11a_4	 2-10*t+22*t^2-29*t^3+22*t^4-10*t^5+2*t^6
11a_5	 1-9*t+30*t^2-45*t^3+30*t^4-9*t^5+t^6
11a_6	 2-13*t+32*t^2-41*t^3+32*t^4-13*t^5+2*t^6
11a_7	 1-5*t+12*t^2-19*t^3+21*t^4-19*t^5+12*t^6-5*t^7+t^8
11a_8	 2-11*t+27*t^2-37*t^3+27*t^4-11*t^5+2*t^6
11a_9	 1-5*t+10*t^2-11*t^3+11*t^4-11*t^5+10*t^6-5*t^7+t^8
11a_10	 2-11*t+25*t^2-31*t^3+25*t^4-11*t^5+2*t^6
11a_11	 2-11*t+26*t^2-35*t^3+26*t^4-11*t^5+2*t^6
11a_12	 2-11*t+24*t^2-29*t^3+24*t^4-11*t^5+2*t^6
11a_13	 3-15*t+25*t^2-15*t^3+3*t^4
11a_14	 1-5*t+15*t^2-28*t^3+35*t^4-28*t^5+15*t^6-5*t^7+t^8
11a_15	 1-5*t+13*t^2-22*t^3+25*t^4-22*t^5+13*t^6-5*t^7+t^8
11a_16	 2-10*t+24*t^2-33*t^3+24*t^4-10*t^5+2*t^6
11a_17	 1-10*t+30*t^2-41*t^3+30*t^4-10*t^5+t^6
11a_18	 3-13*t+29*t^2-37*t^3+29*t^4-13*t^5+3*t^6
11a_19	 1-6*t+18*t^2-33*t^3+39*t^4-33*t^5+18*t^6-6*t^7+t^8
11a_20	 3-13*t+25*t^2-31*t^3+25*t^4-13*t^5+3*t^6
11a_21	 5-19*t+27*t^2-19*t^3+5*t^4
11a_22	 1-5*t+13*t^2-20*t^3+23*t^4-20*t^5+13*t^6-5*t^7+t^8
11a_23	 2-10*t+24*t^2-31*t^3+24*t^4-10*t^5+2*t^6
11a_24	 1-6*t+18*t^2-33*t^3+41*t^4-33*t^5+18*t^6-6*t^7+t^8
11a_25	 1-6*t+18*t^2-33*t^3+39*t^4-33*t^5+18*t^6-6*t^7+t^8
11a_26	 1-6*t+18*t^2-33*t^3+41*t^4-33*t^5+18*t^6-6*t^7+t^8
11a_27	 2-13*t+34*t^2-45*t^3+34*t^4-13*t^5+2*t^6
11a_28	 1-6*t+15*t^2-24*t^3+29*t^4-24*t^5+15*t^6-6*t^7+t^8
11a_29	 2-12*t+27*t^2-33*t^3+27*t^4-12*t^5+2*t^6
11a_30	 2-13*t+35*t^2-49*t^3+35*t^4-13*t^5+2*t^6
11a_31	 3-14*t+28*t^2-35*t^3+28*t^4-14*t^5+3*t^6
11a_32	 3-14*t+32*t^2-41*t^3+32*t^4-14*t^5+3*t^6
11a_33	 1-5*t+12*t^2-19*t^3+21*t^4-19*t^5+12*t^6-5*t^7+t^8
11a_34	 1-5*t+14*t^2-25*t^3+29*t^4-25*t^5+14*t^6-5*t^7+t^8
11a_35	 1-5*t+14*t^2-25*t^3+31*t^4-25*t^5+14*t^6-5*t^7+t^8
11a_36	 2-12*t+28*t^2-37*t^3+28*t^4-12*t^5+2*t^6
11a_37	 2-9*t+21*t^2-29*t^3+21*t^4-9*t^5+2*t^6
11a_38	 2-11*t+27*t^2-37*t^3+27*t^4-11*t^5+2*t^6
11a_39	 3-12*t+22*t^2-27*t^3+22*t^4-12*t^5+3*t^6
11a_40	 1-5*t+12*t^2-17*t^3+19*t^4-17*t^5+12*t^6-5*t^7+t^8
11a_41	 2-11*t+27*t^2-35*t^3+27*t^4-11*t^5+2*t^6
11a_42	 1-9*t+26*t^2-35*t^3+26*t^4-9*t^5+t^6
11a_43	 4-15*t+30*t^2-37*t^3+30*t^4-15*t^5+4*t^6
11a_44	 1-5*t+14*t^2-24*t^3+29*t^4-24*t^5+14*t^6-5*t^7+t^8
11a_45	 6-22*t+31*t^2-22*t^3+6*t^4
11a_46	 2-9*t+20*t^2-25*t^3+20*t^4-9*t^5+2*t^6
11a_47	 1-5*t+14*t^2-24*t^3+29*t^4-24*t^5+14*t^6-5*t^7+t^8
11a_48	 2-12*t+26*t^2-33*t^3+26*t^4-12*t^5+2*t^6
11a_49	 3-13*t+23*t^2-27*t^3+23*t^4-13*t^5+3*t^6
11a_50	 5-21*t+31*t^2-21*t^3+5*t^4
11a_51	 1-9*t+28*t^2-39*t^3+28*t^4-9*t^5+t^6
11a_52	 2-13*t+32*t^2-43*t^3+32*t^4-13*t^5+2*t^6
11a_53	 1-6*t+14*t^2-18*t^3+19*t^4-18*t^5+14*t^6-6*t^7+t^8
11a_54	 2-13*t+33*t^2-43*t^3+33*t^4-13*t^5+2*t^6
11a_55	 1-5*t+10*t^2-13*t^3+13*t^4-13*t^5+10*t^6-5*t^7+t^8
11a_56	 2-11*t+25*t^2-33*t^3+25*t^4-11*t^5+2*t^6
11a_57	 1-5*t+12*t^2-20*t^3+23*t^4-20*t^5+12*t^6-5*t^7+t^8
11a_58	 2-9*t+18*t^2-23*t^3+18*t^4-9*t^5+2*t^6
11a_59	 3-11*t+15*t^2-11*t^3+3*t^4
11a_60	 3-12*t+18*t^2-19*t^3+18*t^4-12*t^5+3*t^6
11a_61	 6-26*t+39*t^2-26*t^3+6*t^4
11a_62	 1-5*t+8*t^2-9*t^3+9*t^4-9*t^5+8*t^6-5*t^7+t^8
11a_63	 2-11*t+21*t^2-25*t^3+21*t^4-11*t^5+2*t^6
11a_64	 2-11*t+22*t^2-27*t^3+22*t^4-11*t^5+2*t^6
11a_65	 3-15*t+23*t^2-15*t^3+3*t^4
11a_66	 1-6*t+15*t^2-24*t^3+27*t^4-24*t^5+15*t^6-6*t^7+t^8
11a_67	 2-12*t+29*t^2-39*t^3+29*t^4-12*t^5+2*t^6
11a_68	 1-6*t+14*t^2-20*t^3+21*t^4-20*t^5+14*t^6-6*t^7+t^8
11a_69	 2-13*t+33*t^2-45*t^3+33*t^4-13*t^5+2*t^6
11a_70	 2-14*t+36*t^2-47*t^3+36*t^4-14*t^5+2*t^6
11a_71	 1-6*t+18*t^2-34*t^3+41*t^4-34*t^5+18*t^6-6*t^7+t^8
11a_72	 1-6*t+18*t^2-32*t^3+39*t^4-32*t^5+18*t^6-6*t^7+t^8
11a_73	 1-7*t+21*t^2-37*t^3+45*t^4-37*t^5+21*t^6-7*t^7+t^8
11a_74	 1-5*t+10*t^2-13*t^3+15*t^4-13*t^5+10*t^6-5*t^7+t^8
11a_75	 2-10*t+19*t^2-21*t^3+19*t^4-10*t^5+2*t^6
11a_76	 1-6*t+17*t^2-30*t^3+37*t^4-30*t^5+17*t^6-6*t^7+t^8
11a_77	 2-12*t+31*t^2-41*t^3+31*t^4-12*t^5+2*t^6
11a_78	 2-12*t+29*t^2-37*t^3+29*t^4-12*t^5+2*t^6
11a_79	 1-6*t+17*t^2-30*t^3+35*t^4-30*t^5+17*t^6-6*t^7+t^8
11a_80	 1-6*t+16*t^2-28*t^3+35*t^4-28*t^5+16*t^6-6*t^7+t^8
11a_81	 1-6*t+16*t^2-26*t^3+29*t^4-26*t^5+16*t^6-6*t^7+t^8
11a_82	 1-5*t+12*t^2-19*t^3+21*t^4-19*t^5+12*t^6-5*t^7+t^8
11a_83	 1-5*t+14*t^2-23*t^3+27*t^4-23*t^5+14*t^6-5*t^7+t^8
11a_84	 2-10*t+23*t^2-31*t^3+23*t^4-10*t^5+2*t^6
11a_85	 2-10*t+25*t^2-33*t^3+25*t^4-10*t^5+2*t^6
11a_86	 1-5*t+12*t^2-18*t^3+19*t^4-18*t^5+12*t^6-5*t^7+t^8
11a_87	 2-11*t+28*t^2-39*t^3+28*t^4-11*t^5+2*t^6
11a_88	 1-5*t+12*t^2-20*t^3+25*t^4-20*t^5+12*t^6-5*t^7+t^8
11a_89	 2-12*t+28*t^2-35*t^3+28*t^4-12*t^5+2*t^6
11a_90	 2-10*t+20*t^2-23*t^3+20*t^4-10*t^5+2*t^6
11a_91	 2-12*t+30*t^2-41*t^3+30*t^4-12*t^5+2*t^6
11a_92	 1-5*t+12*t^2-21*t^3+25*t^4-21*t^5+12*t^6-5*t^7+t^8
11a_93	 2-10*t+21*t^2-27*t^3+21*t^4-10*t^5+2*t^6
11a_94	 4-13*t+23*t^2-27*t^3+23*t^4-13*t^5+4*t^6
11a_95	 6-18*t+25*t^2-18*t^3+6*t^4
11a_96	 1-9*t+29*t^2-43*t^3+29*t^4-9*t^5+t^6
11a_97	 2-9*t+16*t^2-17*t^3+16*t^4-9*t^5+2*t^6
11a_98	 4-19*t+31*t^2-19*t^3+4*t^4
11a_99	 1-6*t+17*t^2-28*t^3+31*t^4-28*t^5+17*t^6-6*t^7+t^8
11a_100	 3-15*t+32*t^2-41*t^3+32*t^4-15*t^5+3*t^6
11a_101	 3-16*t+39*t^2-51*t^3+39*t^4-16*t^5+3*t^6
11a_102	 2-11*t+23*t^2-27*t^3+23*t^4-11*t^5+2*t^6
11a_103	 4-20*t+33*t^2-20*t^3+4*t^4
11a_104	 2-12*t+29*t^2-39*t^3+29*t^4-12*t^5+2*t^6
11a_105	 3-13*t+24*t^2-29*t^3+24*t^4-13*t^5+3*t^6
11a_106	 1-5*t+12*t^2-18*t^3+21*t^4-18*t^5+12*t^6-5*t^7+t^8
11a_107	 2-11*t+26*t^2-33*t^3+26*t^4-11*t^5+2*t^6
11a_108	 1-5*t+12*t^2-20*t^3+23*t^4-20*t^5+12*t^6-5*t^7+t^8
11a_109	 1-5*t+14*t^2-24*t^3+29*t^4-24*t^5+14*t^6-5*t^7+t^8
11a_110	 2-10*t+22*t^2-29*t^3+22*t^4-10*t^5+2*t^6
11a_111	 2-10*t+24*t^2-31*t^3+24*t^4-10*t^5+2*t^6
11a_112	 1-6*t+15*t^2-25*t^3+31*t^4-25*t^5+15*t^6-6*t^7+t^8
11a_113	 1-6*t+15*t^2-21*t^3+23*t^4-21*t^5+15*t^6-6*t^7+t^8
11a_114	 3-15*t+35*t^2-45*t^3+35*t^4-15*t^5+3*t^6
11a_115	 3-13*t+27*t^2-35*t^3+27*t^4-13*t^5+3*t^6
11a_116	 3-15*t+31*t^2-39*t^3+31*t^4-15*t^5+3*t^6
